;FIG;Weinstock
168;FIG|691.12.PEG.1157;BA890_RS07315
169;FIG|691.12.PEG.1158;BA890_RS07310
170;FIG|691.12.PEG.1159;BA890_RS07305
171;FIG|691.12.PEG.116;BA890_RS12485
172;FIG|691.12.PEG.1160;BA890_RS07300
173;FIG|691.12.PEG.1161;BA890_RS07295
174;FIG|691.12.PEG.1162;BA890_RS07290
175;FIG|691.12.PEG.1163;BA890_RS07285
176;FIG|691.12.PEG.1164;BA890_RS07280
177;FIG|691.12.PEG.1165;BA890_RS07275
178;FIG|691.12.PEG.1166;BA890_RS07270
179;FIG|691.12.PEG.1167;BA890_RS07265
180;FIG|691.12.PEG.1168;BA890_RS07260
181;FIG|691.12.PEG.1169;BA890_RS07255
182;FIG|691.12.PEG.117;BA890_RS12480
183;FIG|691.12.PEG.1170;BA890_RS07250
184;FIG|691.12.PEG.1171;BA890_RS07245
185;FIG|691.12.PEG.1172;BA890_RS07240
186;FIG|691.12.PEG.1173;BA890_RS07235
187;FIG|691.12.PEG.1174;BA890_RS07230
188;FIG|691.12.PEG.1175;BA890_RS07225
189;FIG|691.12.PEG.1176;BA890_RS07220
190;FIG|691.12.PEG.1177;BA890_RS07215
191;FIG|691.12.PEG.1178;BA890_RS07210
192;FIG|691.12.PEG.1179;BA890_RS07205
193;FIG|691.12.PEG.118;BA890_RS12475
194;FIG|691.12.PEG.1180;BA890_RS07200
195;FIG|691.12.PEG.1181;BA890_RS07195
196;FIG|691.12.PEG.1182;BA890_RS07190
197;FIG|691.12.PEG.1183;BA890_RS07185
198;FIG|691.12.PEG.1184;BA890_RS07180
199;FIG|691.12.PEG.1185;BA890_RS07175
200;FIG|691.12.PEG.1186;BA890_RS07170
201;FIG|691.12.PEG.1187;BA890_RS07165
202;FIG|691.12.PEG.1188;BA890_RS07160
203;FIG|691.12.PEG.1189;BA890_RS07155
204;FIG|691.12.PEG.119;BA890_RS12470
205;FIG|691.12.PEG.1190;BA890_RS07150
206;FIG|691.12.PEG.1191;BA890_RS07145
207;FIG|691.12.PEG.1192;BA890_RS07140
208;FIG|691.12.PEG.1193;BA890_RS07135
209;FIG|691.12.PEG.1194;BA890_RS07130
210;FIG|691.12.PEG.1195;BA890_RS07125
211;FIG|691.12.PEG.1196;BA890_RS07120
212;FIG|691.12.PEG.1197;BA890_RS07110
213;FIG|691.12.PEG.1198;BA890_RS07105
214;FIG|691.12.PEG.1199;BA890_RS07100
215;FIG|691.12.PEG.12;BA890_RS14025
216;FIG|691.12.PEG.120;BA890_RS12465
217;FIG|691.12.PEG.1200;BA890_RS07095
218;FIG|691.12.PEG.1201;BA890_RS07090
219;FIG|691.12.PEG.1202;BA890_RS07085
220;FIG|691.12.PEG.1203;BA890_RS07080
221;FIG|691.12.PEG.1204;BA890_RS07075
222;FIG|691.12.PEG.1205;BA890_RS07070
223;FIG|691.12.PEG.1206;BA890_RS07065
224;FIG|691.12.PEG.1207;BA890_RS07060
225;FIG|691.12.PEG.1208;BA890_RS07055
226;FIG|691.12.PEG.1209;BA890_RS07050
227;FIG|691.12.PEG.121;BA890_RS12460
228;FIG|691.12.PEG.1210;BA890_RS07045
229;FIG|691.12.PEG.1211;BA890_RS07040
230;FIG|691.12.PEG.1212;BA890_RS07035
231;FIG|691.12.PEG.1213;BA890_RS07030
232;FIG|691.12.PEG.1214;BA890_RS07025
233;FIG|691.12.PEG.1215;BA890_RS07020
234;FIG|691.12.PEG.1216;BA890_RS07015
235;FIG|691.12.PEG.1217;BA890_RS07010
236;FIG|691.12.PEG.1218;BA890_RS07005
237;FIG|691.12.PEG.1219;BA890_RS07000
238;FIG|691.12.PEG.122;BA890_RS12455
239;FIG|691.12.PEG.1220;BA890_RS06995
240;FIG|691.12.PEG.1221;BA890_RS06990
241;FIG|691.12.PEG.1223;BA890_RS06985
242;FIG|691.12.PEG.1224;BA890_RS06980
243;FIG|691.12.PEG.1225;BA890_RS06975
244;FIG|691.12.PEG.1226;BA890_RS06970
245;FIG|691.12.PEG.1228;BA890_RS06960
246;FIG|691.12.PEG.1229;BA890_RS06955
247;FIG|691.12.PEG.123;BA890_RS12450
248;FIG|691.12.PEG.1230;BA890_RS06950
249;FIG|691.12.PEG.1231;BA890_RS06945
250;FIG|691.12.PEG.1232;BA890_RS06940
251;FIG|691.12.PEG.1233;BA890_RS06935
252;FIG|691.12.PEG.1234;BA890_RS06925
253;FIG|691.12.PEG.1235;BA890_RS06920
254;FIG|691.12.PEG.1236;BA890_RS06915
255;FIG|691.12.PEG.1237;BA890_RS06910
256;FIG|691.12.PEG.1238;BA890_RS06905
257;FIG|691.12.PEG.1239;BA890_RS06900
258;FIG|691.12.PEG.124;BA890_RS12445
259;FIG|691.12.PEG.1240;BA890_RS06895
260;FIG|691.12.PEG.1241;BA890_RS06890
261;FIG|691.12.PEG.1242;BA890_RS06885
262;FIG|691.12.PEG.1243;BA890_RS06880
263;FIG|691.12.PEG.1244;BA890_RS06875
264;FIG|691.12.PEG.1245;BA890_RS06870
265;FIG|691.12.PEG.1246;BA890_RS06865
266;FIG|691.12.PEG.1247;BA890_RS06860
267;FIG|691.12.PEG.1248;BA890_RS06855
268;FIG|691.12.PEG.1249;BA890_RS06850
269;FIG|691.12.PEG.125;BA890_RS12440
270;FIG|691.12.PEG.1250;BA890_RS06845
271;FIG|691.12.PEG.1251;BA890_RS06840
272;FIG|691.12.PEG.1252;BA890_RS06830
273;FIG|691.12.PEG.1253;BA890_RS06825
274;FIG|691.12.PEG.1254;BA890_RS06820
275;FIG|691.12.PEG.1255;BA890_RS06815
276;FIG|691.12.PEG.1256;BA890_RS06810
277;FIG|691.12.PEG.1257;BA890_RS06805
278;FIG|691.12.PEG.1258;BA890_RS06800
279;FIG|691.12.PEG.1259;BA890_RS06795
280;FIG|691.12.PEG.126;BA890_RS12435
281;FIG|691.12.PEG.1260;BA890_RS06790
282;FIG|691.12.PEG.1261;BA890_RS06785
283;FIG|691.12.PEG.1262;BA890_RS06780
284;FIG|691.12.PEG.1263;BA890_RS06775
285;FIG|691.12.PEG.1264;BA890_RS06770
286;FIG|691.12.PEG.1265;BA890_RS06765
287;FIG|691.12.PEG.1266;BA890_RS06760
288;FIG|691.12.PEG.1267;BA890_RS06755
289;FIG|691.12.PEG.1269;BA890_RS06750
290;FIG|691.12.PEG.127;BA890_RS12430
291;FIG|691.12.PEG.1270;BA890_RS06745
292;FIG|691.12.PEG.1271;BA890_RS06740
293;FIG|691.12.PEG.1272;BA890_RS06735
294;FIG|691.12.PEG.1273;BA890_RS06730
295;FIG|691.12.PEG.1276;BA890_RS06725
296;FIG|691.12.PEG.1277;BA890_RS06720
297;FIG|691.12.PEG.1278;BA890_RS06715
298;FIG|691.12.PEG.1279;BA890_RS06710
299;FIG|691.12.PEG.128;BA890_RS12425
300;FIG|691.12.PEG.1281;BA890_RS06695
301;FIG|691.12.PEG.1282;BA890_RS06690
302;FIG|691.12.PEG.1283;BA890_RS06685
303;FIG|691.12.PEG.1284;BA890_RS06680
304;FIG|691.12.PEG.1285;BA890_RS06675
305;FIG|691.12.PEG.1286;BA890_RS06670
306;FIG|691.12.PEG.1287;BA890_RS06665
307;FIG|691.12.PEG.1288;BA890_RS06660
308;FIG|691.12.PEG.1289;BA890_RS06655
309;FIG|691.12.PEG.129;BA890_RS12420
310;FIG|691.12.PEG.1290;BA890_RS06650
311;FIG|691.12.PEG.1291;BA890_RS06645
312;FIG|691.12.PEG.1292;BA890_RS06640
313;FIG|691.12.PEG.1293;BA890_RS06635
314;FIG|691.12.PEG.1294;BA890_RS06630
315;FIG|691.12.PEG.1295;BA890_RS06625
316;FIG|691.12.PEG.1296;BA890_RS06620
317;FIG|691.12.PEG.1297;BA890_RS06615
318;FIG|691.12.PEG.1299;BA890_RS06610
319;FIG|691.12.PEG.13;BA890_RS14020
320;FIG|691.12.PEG.130;BA890_RS12415
321;FIG|691.12.PEG.1300;BA890_RS06600
322;FIG|691.12.PEG.1301;BA890_RS06595
323;FIG|691.12.PEG.1302;BA890_RS06590
324;FIG|691.12.PEG.1303;BA890_RS06585
325;FIG|691.12.PEG.1304;BA890_RS06580
326;FIG|691.12.PEG.1305;BA890_RS06575
327;FIG|691.12.PEG.1306;BA890_RS06570
328;FIG|691.12.PEG.1307;BA890_RS06565
329;FIG|691.12.PEG.1308;BA890_RS06560
330;FIG|691.12.PEG.1309;BA890_RS06555
331;FIG|691.12.PEG.131;BA890_RS12410
332;FIG|691.12.PEG.1310;BA890_RS06550
333;FIG|691.12.PEG.1311;BA890_RS06545
334;FIG|691.12.PEG.1312;BA890_RS06540
335;FIG|691.12.PEG.1313;BA890_RS06535
336;FIG|691.12.PEG.1314;BA890_RS06530
337;FIG|691.12.PEG.1315;BA890_RS06525
338;FIG|691.12.PEG.1316;BA890_RS06520
339;FIG|691.12.PEG.1317;BA890_RS06515
340;FIG|691.12.PEG.1318;BA890_RS06510
341;FIG|691.12.PEG.1319;BA890_RS06505
342;FIG|691.12.PEG.132;BA890_RS12405
343;FIG|691.12.PEG.1320;BA890_RS06500
344;FIG|691.12.PEG.1321;BA890_RS06495
345;FIG|691.12.PEG.1322;BA890_RS06490
346;FIG|691.12.PEG.1323;BA890_RS06480
347;FIG|691.12.PEG.1324;BA890_RS06475
348;FIG|691.12.PEG.1325;BA890_RS06470
349;FIG|691.12.PEG.1326;BA890_RS06465
350;FIG|691.12.PEG.1327;BA890_RS06460
351;FIG|691.12.PEG.1328;BA890_RS06455
352;FIG|691.12.PEG.1329;BA890_RS06450
353;FIG|691.12.PEG.133;BA890_RS12400
354;FIG|691.12.PEG.1332;BA890_RS06440
355;FIG|691.12.PEG.1333;BA890_RS06435
356;FIG|691.12.PEG.1334;BA890_RS06430
357;FIG|691.12.PEG.1335;BA890_RS06425
358;FIG|691.12.PEG.1336;BA890_RS06420
359;FIG|691.12.PEG.1337;BA890_RS06415
360;FIG|691.12.PEG.1338;BA890_RS06410
361;FIG|691.12.PEG.1339;BA890_RS06405
362;FIG|691.12.PEG.134;BA890_RS12390
363;FIG|691.12.PEG.1340;BA890_RS06400
364;FIG|691.12.PEG.1341;BA890_RS06395
365;FIG|691.12.PEG.1342;BA890_RS06390
366;FIG|691.12.PEG.1343;BA890_RS06385
367;FIG|691.12.PEG.1344;BA890_RS06380
368;FIG|691.12.PEG.1345;BA890_RS06375
369;FIG|691.12.PEG.1346;BA890_RS06370
370;FIG|691.12.PEG.1347;BA890_RS06365
371;FIG|691.12.PEG.1348;BA890_RS06360
372;FIG|691.12.PEG.1349;BA890_RS06355
373;FIG|691.12.PEG.135;BA890_RS12385
374;FIG|691.12.PEG.1350;BA890_RS06350
375;FIG|691.12.PEG.1351;BA890_RS06345
376;FIG|691.12.PEG.1352;BA890_RS06335
377;FIG|691.12.PEG.1353;BA890_RS06330
378;FIG|691.12.PEG.1354;BA890_RS06325
379;FIG|691.12.PEG.1356;BA890_RS06320
380;FIG|691.12.PEG.1357;BA890_RS06315
381;FIG|691.12.PEG.1359;BA890_RS06305
382;FIG|691.12.PEG.136;BA890_RS12380
383;FIG|691.12.PEG.1360;BA890_RS06300
384;FIG|691.12.PEG.1361;BA890_RS06295
385;FIG|691.12.PEG.1363;BA890_RS06290
386;FIG|691.12.PEG.1364;BA890_RS06280
387;FIG|691.12.PEG.1365;BA890_RS06275
388;FIG|691.12.PEG.1366;BA890_RS06270
389;FIG|691.12.PEG.1367;BA890_RS06265
390;FIG|691.12.PEG.1369;BA890_RS06260
391;FIG|691.12.PEG.137;BA890_RS12375
392;FIG|691.12.PEG.1370;BA890_RS06255
393;FIG|691.12.PEG.1371;BA890_RS06250
394;FIG|691.12.PEG.1372;BA890_RS06245
395;FIG|691.12.PEG.1373;BA890_RS06240
396;FIG|691.12.PEG.1374;BA890_RS06235
397;FIG|691.12.PEG.1375;BA890_RS06230
398;FIG|691.12.PEG.1376;BA890_RS06225
399;FIG|691.12.PEG.1377;BA890_RS06220
400;FIG|691.12.PEG.1378;BA890_RS06215
401;FIG|691.12.PEG.1380;BA890_RS06205
402;FIG|691.12.PEG.1381;BA890_RS06200
403;FIG|691.12.PEG.1382;BA890_RS06195
404;FIG|691.12.PEG.1383;BA890_RS06190
405;FIG|691.12.PEG.1384;BA890_RS06185
406;FIG|691.12.PEG.1385;BA890_RS06180
407;FIG|691.12.PEG.1386;BA890_RS06175
408;FIG|691.12.PEG.1387;BA890_RS06170
409;FIG|691.12.PEG.1388;BA890_RS06165
410;FIG|691.12.PEG.1389;BA890_RS06160
411;FIG|691.12.PEG.139;BA890_RS12370
412;FIG|691.12.PEG.1390;BA890_RS06155
413;FIG|691.12.PEG.1391;BA890_RS06150
414;FIG|691.12.PEG.1392;BA890_RS06145
415;FIG|691.12.PEG.1393;BA890_RS06140
416;FIG|691.12.PEG.1394;BA890_RS06135
417;FIG|691.12.PEG.1395;BA890_RS06130
418;FIG|691.12.PEG.1396;BA890_RS06125
419;FIG|691.12.PEG.1397;BA890_RS06120
420;FIG|691.12.PEG.1398;BA890_RS06115
421;FIG|691.12.PEG.1399;BA890_RS06110
422;FIG|691.12.PEG.14;BA890_RS14015
423;FIG|691.12.PEG.140;BA890_RS12365
424;FIG|691.12.PEG.1400;BA890_RS06105
425;FIG|691.12.PEG.1401;BA890_RS06100
426;FIG|691.12.PEG.1402;BA890_RS06095
427;FIG|691.12.PEG.1403;BA890_RS06090
428;FIG|691.12.PEG.1404;BA890_RS06085
429;FIG|691.12.PEG.1405;BA890_RS06080
430;FIG|691.12.PEG.1406;BA890_RS06075
431;FIG|691.12.PEG.1407;BA890_RS06070
432;FIG|691.12.PEG.1408;BA890_RS06065
433;FIG|691.12.PEG.1409;BA890_RS06060
434;FIG|691.12.PEG.141;BA890_RS12360
435;FIG|691.12.PEG.1410;BA890_RS06055
436;FIG|691.12.PEG.1411;BA890_RS06050
437;FIG|691.12.PEG.1412;BA890_RS06045
438;FIG|691.12.PEG.1413;BA890_RS06040
439;FIG|691.12.PEG.1414;BA890_RS06035
440;FIG|691.12.PEG.1415;BA890_RS06030
441;FIG|691.12.PEG.1416;BA890_RS06025
442;FIG|691.12.PEG.1417;BA890_RS06020
443;FIG|691.12.PEG.1418;BA890_RS06015
444;FIG|691.12.PEG.1419;BA890_RS06010
445;FIG|691.12.PEG.142;BA890_RS12355
446;FIG|691.12.PEG.1420;BA890_RS06005
447;FIG|691.12.PEG.1421;BA890_RS06000
448;FIG|691.12.PEG.1422;BA890_RS05995
449;FIG|691.12.PEG.1423;BA890_RS05990
450;FIG|691.12.PEG.1424;BA890_RS05985
451;FIG|691.12.PEG.1425;BA890_RS05980
452;FIG|691.12.PEG.1426;BA890_RS05975
453;FIG|691.12.PEG.1427;BA890_RS05970
454;FIG|691.12.PEG.1428;BA890_RS05965
455;FIG|691.12.PEG.1429;BA890_RS05960
456;FIG|691.12.PEG.143;BA890_RS12350
457;FIG|691.12.PEG.1430;BA890_RS05955
458;FIG|691.12.PEG.1431;BA890_RS05950
459;FIG|691.12.PEG.1432;BA890_RS05945
460;FIG|691.12.PEG.1433;BA890_RS05940
461;FIG|691.12.PEG.1434;BA890_RS05935
462;FIG|691.12.PEG.1435;BA890_RS05930
463;FIG|691.12.PEG.1436;BA890_RS05925
464;FIG|691.12.PEG.1437;BA890_RS05920
465;FIG|691.12.PEG.1438;BA890_RS05915
466;FIG|691.12.PEG.1439;BA890_RS05910
467;FIG|691.12.PEG.144;BA890_RS12345
468;FIG|691.12.PEG.1440;BA890_RS05905
469;FIG|691.12.PEG.1441;BA890_RS05900
470;FIG|691.12.PEG.1442;BA890_RS05895
471;FIG|691.12.PEG.1443;BA890_RS05890
472;FIG|691.12.PEG.1444;BA890_RS05885
473;FIG|691.12.PEG.1445;BA890_RS05880
474;FIG|691.12.PEG.1446;BA890_RS05875
475;FIG|691.12.PEG.1447;BA890_RS05870
476;FIG|691.12.PEG.1449;BA890_RS05865
477;FIG|691.12.PEG.145;BA890_RS12340
478;FIG|691.12.PEG.1450;BA890_RS05860
479;FIG|691.12.PEG.1451;BA890_RS05855
480;FIG|691.12.PEG.1452;BA890_RS05850
481;FIG|691.12.PEG.1453;BA890_RS05845
482;FIG|691.12.PEG.1454;BA890_RS05840
483;FIG|691.12.PEG.1455;BA890_RS05835
484;FIG|691.12.PEG.1456;BA890_RS05830
485;FIG|691.12.PEG.1457;BA890_RS05825
486;FIG|691.12.PEG.1458;BA890_RS05820
487;FIG|691.12.PEG.1459;BA890_RS05815
488;FIG|691.12.PEG.146;BA890_RS12330
489;FIG|691.12.PEG.1460;BA890_RS05810
490;FIG|691.12.PEG.1461;BA890_RS05805
491;FIG|691.12.PEG.1462;BA890_RS05800
492;FIG|691.12.PEG.1463;BA890_RS05795
493;FIG|691.12.PEG.1464;BA890_RS05790
494;FIG|691.12.PEG.1465;BA890_RS05785
495;FIG|691.12.PEG.1466;BA890_RS05780
496;FIG|691.12.PEG.1467;BA890_RS05775
497;FIG|691.12.PEG.1468;BA890_RS05770
498;FIG|691.12.PEG.1469;BA890_RS05765
499;FIG|691.12.PEG.147;BA890_RS12325
500;FIG|691.12.PEG.1470;BA890_RS05760
501;FIG|691.12.PEG.1471;BA890_RS05755
502;FIG|691.12.PEG.1472;BA890_RS05750
503;FIG|691.12.PEG.1473;BA890_RS05745
504;FIG|691.12.PEG.1474;BA890_RS05740
505;FIG|691.12.PEG.1475;BA890_RS05735
506;FIG|691.12.PEG.1476;BA890_RS05730
507;FIG|691.12.PEG.1477;BA890_RS05725
508;FIG|691.12.PEG.1478;BA890_RS05720
509;FIG|691.12.PEG.1479;BA890_RS05715
510;FIG|691.12.PEG.148;BA890_RS12320
511;FIG|691.12.PEG.1480;BA890_RS05710
512;FIG|691.12.PEG.1481;BA890_RS05705
513;FIG|691.12.PEG.1482;BA890_RS05700
514;FIG|691.12.PEG.1483;BA890_RS05695
515;FIG|691.12.PEG.1484;BA890_RS05690
516;FIG|691.12.PEG.1485;BA890_RS05685
517;FIG|691.12.PEG.1486;BA890_RS05680
518;FIG|691.12.PEG.1487;BA890_RS05675
519;FIG|691.12.PEG.1488;BA890_RS05670
520;FIG|691.12.PEG.1489;BA890_RS05665
521;FIG|691.12.PEG.149;BA890_RS12315
522;FIG|691.12.PEG.1490;BA890_RS05660
523;FIG|691.12.PEG.1491;BA890_RS05655
524;FIG|691.12.PEG.1492;BA890_RS05650
525;FIG|691.12.PEG.1493;BA890_RS05645
526;FIG|691.12.PEG.1494;BA890_RS05640
527;FIG|691.12.PEG.1496;BA890_RS05635
528;FIG|691.12.PEG.1497;BA890_RS05630
529;FIG|691.12.PEG.1498;BA890_RS05625
530;FIG|691.12.PEG.1499;BA890_RS05620
531;FIG|691.12.PEG.15;BA890_RS14010
532;FIG|691.12.PEG.150;BA890_RS12310
533;FIG|691.12.PEG.1500;BA890_RS05615
534;FIG|691.12.PEG.1501;BA890_RS05610
535;FIG|691.12.PEG.1502;BA890_RS05605
536;FIG|691.12.PEG.1503;BA890_RS05600
537;FIG|691.12.PEG.1504;BA890_RS05595
538;FIG|691.12.PEG.1505;BA890_RS05590
