,FIG,NCBI_protein_ID,NCBI_chr,NCBI_locus,NCBI_protein_desc,NCBI_location
22,FIG|691.12.PEG.23,ALR14497.1,CP009977.1,PN96_00170,peptidylprolyl isomerase,32171..32869
23,FIG|691.12.PEG.24,ALR14498.1,CP009977.1,PN96_00175,phosphoribosylamine--glycine ligase,complement(32939..34228)
24,FIG|691.12.PEG.25,ALR14499.1,CP009977.1,PN96_00180,phosphoribosylaminoimidazolecarboxamide formyltransferase,complement(34447..36039)
25,FIG|691.12.PEG.27,ALR14501.1,CP009977.1,PN96_00190,zinc-responsive transcriptional regulator,36305..36703
26,FIG|691.12.PEG.28,ALR14502.1,CP009977.1,PN96_00195,XRE family transcriptional regulator,36858..38384
27,FIG|691.12.PEG.31,ALR14504.1,CP009977.1,PN96_00260,sodium:proton antiporter,complement(51213..52571)
28,FIG|691.12.PEG.32,ALR14505.1,CP009977.1,PN96_00265,methionine synthase,52764..56444
29,FIG|691.12.PEG.33,ALR14506.1,CP009977.1,PN96_00270,aspartate kinase,complement(56508..57860)
30,FIG|691.12.PEG.34,ALR14507.1,CP009977.1,PN96_00275,alanine--glyoxylate aminotransferase,58366..59487
31,FIG|691.12.PEG.35,ALR14508.1,CP009977.1,PN96_00280,ligase,complement(59538..61316)
32,FIG|691.12.PEG.36,ALR14509.1,CP009977.1,PN96_00285,excinuclease ABC subunit A,complement(61384..64206)
33,FIG|691.12.PEG.37,ALR14510.1,CP009977.1,PN96_00290,UTP--glucose-1-phosphate uridylyltransferase,complement(64355..65227)
34,FIG|691.12.PEG.38,ALR14511.1,CP009977.1,PN96_00295,LuxR family transcriptional regulator,complement(65407..66051)
35,FIG|691.12.PEG.39,ALR14512.1,CP009977.1,PN96_00300,single-stranded DNA-binding protein,66329..66868
36,FIG|691.12.PEG.40,ALR14513.1,CP009977.1,PN96_00305,diguanylate phosphodiesterase,67106..69115
37,FIG|691.12.PEG.41,ALR14514.1,CP009977.1,PN96_00310,MSHA biogenesis protein MshI,69127..70572
38,FIG|691.12.PEG.42,ALR14515.1,CP009977.1,PN96_00315,MSHA biogenesis protein MshJ,70569..71219
39,FIG|691.12.PEG.43,ALR14516.1,CP009977.1,PN96_00320,MSHA biogenesis protein MshK,71212..71544
40,FIG|691.12.PEG.44,ALR14517.1,CP009977.1,PN96_00325,MSHA biogenesis protein MshL,71616..73244
41,FIG|691.12.PEG.45,ALR14518.1,CP009977.1,PN96_00330,MSHA biogenesis protein MshM,73289..74134
42,FIG|691.12.PEG.46,ALR14519.1,CP009977.1,PN96_00335,MSHA biogenesis protein MshN,74119..75231
43,FIG|691.12.PEG.47,ALR14520.1,CP009977.1,PN96_00340,MSHA biogenesis protein MshE,75228..76952
44,FIG|691.12.PEG.48,ALR14521.1,CP009977.1,PN96_00345,MSHA biogenesis protein MshG,76961..78184
45,FIG|691.12.PEG.49,ALR14522.1,CP009977.1,PN96_00350,MSHA biogenesis protein MshF,78188..78643
46,FIG|691.12.PEG.50,ALR14523.1,CP009977.1,PN96_00355,MSHA biogenesis protein MshA,78932..79414
47,FIG|691.12.PEG.51,ALR14524.1,CP009977.1,PN96_00360,MSHA biogenesis protein MshA,79483..79713
48,FIG|691.12.PEG.52,ALR14525.1,CP009977.1,PN96_00365,MSHA biogenesis protein MshC,79838..80326
49,FIG|691.12.PEG.53,ALR14526.1,CP009977.1,PN96_00370,MSHA biogenesis protein MshD,80323..80898
50,FIG|691.12.PEG.54,ALR14527.1,CP009977.1,PN96_00375,MSHA biogenesis protein MshO,80898..81635
51,FIG|691.12.PEG.56,ALR14529.1,CP009977.1,PN96_00390,rod shape-determining protein MreB,85918..86961
52,FIG|691.12.PEG.57,ALR14530.1,CP009977.1,PN96_00395,rod shape-determining protein MreC,87111..88010
53,FIG|691.12.PEG.58,ALR14531.1,CP009977.1,PN96_00400,rod shape-determining protein MreD,88000..88488
54,FIG|691.12.PEG.59,ALR14532.1,CP009977.1,PN96_00405,septum formation inhibitor Maf,88493..89062
55,FIG|691.12.PEG.60,ALR14533.1,CP009977.1,PN96_00410,ribonuclease G,89081..90550
56,FIG|691.12.PEG.61,ALR14534.1,CP009977.1,PN96_00415,membrane protein,90562..94440
57,FIG|691.12.PEG.62,ALR14535.1,CP009977.1,PN96_00420,amidohydrolase,94482..95303
58,FIG|691.12.PEG.63,ALR14536.1,CP009977.1,PN96_00425,protease TldD,95315..96760
59,FIG|691.12.PEG.64,ALR14537.1,CP009977.1,PN96_00430,ATPase,complement(96834..98210)
60,FIG|691.12.PEG.65,ALR14538.1,CP009977.1,PN96_00435,ATP-dependent helicase,98778..101687
61,FIG|691.12.PEG.66,ALR14539.1,CP009977.1,PN96_00440,membrane protein,complement(101776..103041)
62,FIG|691.12.PEG.67,ALR14540.1,CP009977.1,PN96_00445,ribosomal large subunit pseudouridine synthase A,103437..104189
63,FIG|691.12.PEG.68,ALR14541.1,CP009977.1,PN96_00450,glycerate dehydrogenase,104222..105184
64,FIG|691.12.PEG.69,ALR14542.1,CP009977.1,PN96_00455,hypothetical protein,complement(105251..105778)
65,FIG|691.12.PEG.70,ALR14543.1,CP009977.1,PN96_00460,protein PmbA,105889..107232
66,FIG|691.12.PEG.71,ALR14544.1,CP009977.1,PN96_00465,magnesium transporter,complement(107311..108666)
67,FIG|691.12.PEG.72,ALR14545.1,CP009977.1,PN96_00470,phosphate ABC transporter permease,complement(108911..109186)
68,FIG|691.12.PEG.73,ALR14546.1,CP009977.1,PN96_00475,glmZ(sRNA)-inactivating NTPase,complement(109189..110052)
69,FIG|691.12.PEG.74,ALR14547.1,CP009977.1,PN96_00480,PTS sugar transporter,complement(110068..110514)
70,FIG|691.12.PEG.75,ALR14548.1,CP009977.1,PN96_00485,ribosome hibernation promoting factor HPF,complement(110517..110804)
71,FIG|691.12.PEG.76,ALR14549.1,CP009977.1,PN96_00490,RNA polymerase factor sigma-54,complement(110828..112300)
72,FIG|691.12.PEG.77,ALR14550.1,CP009977.1,PN96_00495,sugar ABC transporter ATP-binding protein,complement(112351..113076)
73,FIG|691.12.PEG.78,ALR14551.1,CP009977.1,PN96_00500,ABC transporter substrate-binding protein,complement(113078..113572)
74,FIG|691.12.PEG.79,ALR14552.1,CP009977.1,PN96_00505,lipopolysaccharide assembly protein,complement(113553..114116)
75,FIG|691.12.PEG.80,ALR14553.1,CP009977.1,PN96_00510,D-arabinose 5-phosphate isomerase,complement(114194..115165)
76,FIG|691.12.PEG.81,ALR14554.1,CP009977.1,PN96_00515,calcium/sodium:proton antiporter,complement(115205..116170)
77,FIG|691.12.PEG.82,ALR14555.1,CP009977.1,PN96_00520,ABC transporter ATP-binding protein,116628..117431
78,FIG|691.12.PEG.83,ALR14556.1,CP009977.1,PN96_00525,ABC transporter permease,117421..118212
79,FIG|691.12.PEG.84,ALR14557.1,CP009977.1,PN96_00530,toluene ABC transporter substrate-binding protein,118215..118703
80,FIG|691.12.PEG.85,ALR14558.1,CP009977.1,PN96_00535,toluene tolerance protein,118706..119344
81,FIG|691.12.PEG.86,ALR14559.1,CP009977.1,PN96_00540,NTP-binding protein,119344..119664
82,FIG|691.12.PEG.87,ALR14560.1,CP009977.1,PN96_00545,BolA family transcriptional regulator,119668..119922
83,FIG|691.12.PEG.88,ALR14561.1,CP009977.1,PN96_00550,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,119932..121197
84,FIG|691.12.PEG.89,ALR14562.1,CP009977.1,PN96_00555,acyl-phosphate glycerol 3-phosphate acyltransferase,121327..122052
85,FIG|691.12.PEG.90,ALR14563.1,CP009977.1,PN96_00560,endoribonuclease L-PSP,complement(122128..122517)
86,FIG|691.12.PEG.91,ALR14564.1,CP009977.1,PN96_00565,aspartate carbamoyltransferase regulatory subunit,complement(122648..123109)
87,FIG|691.12.PEG.92,ALR14565.1,CP009977.1,PN96_00570,aspartate carbamoyltransferase catalytic subunit,complement(123125..124054)
88,FIG|691.12.PEG.93,ALR14566.1,CP009977.1,PN96_00575,ornithine carbamoyltransferase,complement(124328..125332)
89,FIG|691.12.PEG.94,ALR14567.1,CP009977.1,PN96_00580,arginine deiminase,complement(125483..126706)
90,FIG|691.12.PEG.95,ALR14568.1,CP009977.1,PN96_00585,regulator,127265..127681
91,FIG|691.12.PEG.96,ALR14569.1,CP009977.1,PN96_00590,beta-galactosidase,127828..128628
92,FIG|691.12.PEG.97,ALR14570.1,CP009977.1,PN96_00595,acetyltransferase,complement(128649..129143)
93,FIG|691.12.PEG.98,ALR14571.1,CP009977.1,PN96_00600,membrane protein,complement(129189..129593)
94,FIG|691.12.PEG.99,ALR14572.1,CP009977.1,PN96_00605,valyl-tRNA synthase,complement(129799..132657)
95,FIG|691.12.PEG.100,ALR17170.1,CP009977.1,PN96_00610,DNA polymerase III subunit chi,complement(132817..133266)
96,FIG|691.12.PEG.101,ALR14573.1,CP009977.1,PN96_00615,multifunctional aminopeptidase A,complement(133369..134877)
97,FIG|691.12.PEG.102,ALR14574.1,CP009977.1,PN96_00620,lipopolysaccharide ABC transporter permease,135078..136178
98,FIG|691.12.PEG.103,ALR14575.1,CP009977.1,PN96_00625,lipopolysaccharide ABC transporter permease,136182..137252
99,FIG|691.12.PEG.104,ALR14576.1,CP009977.1,PN96_00630,transmembrane protein,complement(137285..137764)
100,FIG|691.12.PEG.105,ALR14577.1,CP009977.1,PN96_00635,hypothetical protein,complement(137957..139225)
101,FIG|691.12.PEG.106,ALR14578.1,CP009977.1,PN96_00640,short-chain dehydrogenase,139404..140069
102,FIG|691.12.PEG.107,ALR14579.1,CP009977.1,PN96_00650,bile acid:sodium symporter,141077..142015
103,FIG|691.12.PEG.108,ALR14580.1,CP009977.1,PN96_00655,short-chain dehydrogenase,complement(142155..142829)
104,FIG|691.12.PEG.109,ALR14581.1,CP009977.1,PN96_00660,HD family phosphohydrolase,143131..144384
105,FIG|691.12.PEG.110,ALR14582.1,CP009977.1,PN96_00730,chemotaxis protein,complement(152402..154027)
106,FIG|691.12.PEG.111,ALR14583.1,CP009977.1,PN96_00770,murein transglycosylase,complement(155188..156330)
107,FIG|691.12.PEG.112,ALR14584.1,CP009977.1,PN96_00775,iron transporter,complement(156423..156695)
108,FIG|691.12.PEG.113,ALR14585.1,CP009977.1,PN96_00780,adenine glycosylase,complement(156715..157791)
109,FIG|691.12.PEG.114,ALR14586.1,CP009977.1,PN96_00785,tRNA (guanine-N7)-methyltransferase,157995..158714
110,FIG|691.12.PEG.115,ALR14587.1,CP009977.1,PN96_00790,DNA methylase,158726..159754
111,FIG|691.12.PEG.116,ALR14588.1,CP009977.1,PN96_00795,glutaminase,159843..160763
112,FIG|691.12.PEG.117,ALR17171.1,CP009977.1,PN96_00800,coproporphyrinogen III oxidase,complement(160842..162017)
113,FIG|691.12.PEG.118,ALR14589.1,CP009977.1,PN96_00805,nucleoside-triphosphate diphosphatase,complement(162035..162637)
114,FIG|691.12.PEG.119,ALR14590.1,CP009977.1,PN96_00810,hypothetical protein,complement(162771..163202)
115,FIG|691.12.PEG.120,ALR14591.1,CP009977.1,PN96_00815,hypothetical protein,complement(163277..163567)
116,FIG|691.12.PEG.121,ALR14592.1,CP009977.1,PN96_00820,membrane protein,complement(163567..164124)
117,FIG|691.12.PEG.122,ALR14593.1,CP009977.1,PN96_00825,pyrroline-5-carboxylate reductase,complement(164177..164995)
118,FIG|691.12.PEG.123,ALR14594.1,CP009977.1,PN96_00830,hypothetical protein,complement(165118..165831)
119,FIG|691.12.PEG.124,ALR14595.1,CP009977.1,PN96_00835,twitching motility protein PilT,165860..166900
120,FIG|691.12.PEG.125,ALR14596.1,CP009977.1,PN96_00840,twitching motility protein PilT,166931..168037
121,FIG|691.12.PEG.126,ALR14597.1,CP009977.1,PN96_00845,Holliday junction resolvase,complement(168103..168528)
122,FIG|691.12.PEG.127,ALR17172.1,CP009977.1,PN96_00850,hypothetical protein,complement(168570..169133)
123,FIG|691.12.PEG.128,ALR14598.1,CP009977.1,PN96_00855,glutathione synthetase,complement(169513..170463)
124,FIG|691.12.PEG.129,ALR14599.1,CP009977.1,PN96_00860,16S rRNA methyltransferase,complement(170478..171209)
125,FIG|691.12.PEG.130,ALR14600.1,CP009977.1,PN96_00865,DNA-specific endonuclease I,complement(171349..172044)
126,FIG|691.12.PEG.131,ALR14601.1,CP009977.1,PN96_00870,sprT,complement(172176..172673)
127,FIG|691.12.PEG.132,ALR14602.1,CP009977.1,PN96_00875,cytochrome B6,complement(172739..173536)
128,FIG|691.12.PEG.133,ALR14603.1,CP009977.1,PN96_00880,S-adenosylmethionine synthetase,complement(174012..175166)
129,FIG|691.12.PEG.134,ALR14605.1,CP009977.1,PN96_00890,transketolase,175483..177477
130,FIG|691.12.PEG.135,ALR14606.1,CP009977.1,PN96_00895,glyceraldehyde-3-phosphate dehydrogenase,177619..178659
131,FIG|691.12.PEG.136,ALR14607.1,CP009977.1,PN96_00900,phosphoglycerate kinase,178814..179974
132,FIG|691.12.PEG.137,ALR14608.1,CP009977.1,PN96_00905,fructose-bisphosphate aldolase,180129..181205
133,FIG|691.12.PEG.139,ALR14609.1,CP009977.1,PN96_00910,mechanosensitive ion channel protein,181648..182514
134,FIG|691.12.PEG.140,ALR14610.1,CP009977.1,PN96_00915,amino acid transporter,complement(182630..183259)
135,FIG|691.12.PEG.141,ALR14611.1,CP009977.1,PN96_00920,chromosome replication initiation inhibitor protein,183392..184288
136,FIG|691.12.PEG.142,ALR14612.1,CP009977.1,PN96_00925,hypothetical protein,184540..185232
137,FIG|691.12.PEG.143,ALR14613.1,CP009977.1,PN96_00930,D-3-phosphoglycerate dehydrogenase,complement(185299..186531)
138,FIG|691.12.PEG.144,ALR14614.1,CP009977.1,PN96_00935,ribose 5-phosphate isomerase,complement(186805..187461)
139,FIG|691.12.PEG.145,ALR14615.1,CP009977.1,PN96_00940,5-formyltetrahydrofolate cyclo-ligase,complement(187520..188113)
140,FIG|691.12.PEG.146,ALR14616.1,CP009977.1,PN96_00945,Z-ring-associated protein,complement(188311..188619)
141,FIG|691.12.PEG.147,ALR14617.1,CP009977.1,PN96_00950,hypothetical protein,188868..189446
142,FIG|691.12.PEG.148,ALR14618.1,CP009977.1,PN96_00955,2-octaprenyl-6-methoxyphenyl hydroxylase,189474..190652
143,FIG|691.12.PEG.149,ALR14619.1,CP009977.1,PN96_00960,oxidoreductase,190695..191903
144,FIG|691.12.PEG.150,ALR14620.1,CP009977.1,PN96_00965,hypothetical protein,complement(191964..192170)
145,FIG|691.12.PEG.151,ALR14621.1,CP009977.1,PN96_00970,regulatory protein,complement(192804..193277)
146,FIG|691.12.PEG.152,ALR14622.1,CP009977.1,PN96_00975,tRNA-modifying protein,complement(193270..194238)
147,FIG|691.12.PEG.153,ALR14623.1,CP009977.1,PN96_00980,hypothetical protein,194424..194684
148,FIG|691.12.PEG.154,ALR17173.1,CP009977.1,PN96_00985,hypothetical protein,194803..195078
149,FIG|691.12.PEG.155,ALR14624.1,CP009977.1,PN96_00990,L-aspartate oxidase,complement(195107..196729)
150,FIG|691.12.PEG.156,ALR14625.1,CP009977.1,PN96_00995,RNA polymerase sigma factor RpoE,197304..197882
151,FIG|691.12.PEG.157,ALR14626.1,CP009977.1,PN96_01000,anti-sigma E factor,197909..198535
152,FIG|691.12.PEG.158,ALR14627.1,CP009977.1,PN96_01005,sigma-E factor regulatory protein RseB,198532..199491
153,FIG|691.12.PEG.159,ALR14628.1,CP009977.1,PN96_01010,sigma-E factor regulatory protein,199508..199978
154,FIG|691.12.PEG.160,ALR14629.1,CP009977.1,PN96_01015,elongation factor 4,200139..201932
155,FIG|691.12.PEG.161,ALR14630.1,CP009977.1,PN96_01020,signal peptidase,202037..202936
156,FIG|691.12.PEG.162,ALR14631.1,CP009977.1,PN96_01025,ribonuclease III,203085..203762
157,FIG|691.12.PEG.163,ALR14632.1,CP009977.1,PN96_01030,GTPase Era,203755..204717
158,FIG|691.12.PEG.164,ALR14633.1,CP009977.1,PN96_01035,DNA repair protein RecO,204823..205554
159,FIG|691.12.PEG.165,ALR14634.1,CP009977.1,PN96_01040,pyridoxine 5'-phosphate synthase,205551..206282
160,FIG|691.12.PEG.166,ALR14635.1,CP009977.1,PN96_01045,ACP synthase,206295..206675
161,FIG|691.12.PEG.167,ALR14636.1,CP009977.1,PN96_01050,histidine kinase,complement(206759..209557)
162,FIG|691.12.PEG.168,ALR14637.1,CP009977.1,PN96_01055,23S rRNA methyltransferase,209750..211069
163,FIG|691.12.PEG.169,ALR14638.1,CP009977.1,PN96_01060,(p)ppGpp synthetase,211190..213409
164,FIG|691.12.PEG.170,ALR14639.1,CP009977.1,PN96_01065,nucleoside triphosphate hydrolase,213682..214473
165,FIG|691.12.PEG.171,ALR14640.1,CP009977.1,PN96_01070,CTP synthetase,214688..216328
166,FIG|691.12.PEG.172,ALR14641.1,CP009977.1,PN96_01075,enolase,216410..217711
167,FIG|691.12.PEG.173,ALR14642.1,CP009977.1,PN96_01080,cell division protein FtsB,218170..218451
168,FIG|691.12.PEG.174,ALR14643.1,CP009977.1,PN96_01085,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,218453..219160
169,FIG|691.12.PEG.175,ALR14644.1,CP009977.1,PN96_01090,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",219174..219653
170,FIG|691.12.PEG.176,ALR14645.1,CP009977.1,PN96_01095,pseudouridine synthase,219696..220739
171,FIG|691.12.PEG.177,ALR14646.1,CP009977.1,PN96_01100,stationary phase survival protein SurE,220739..221515
172,FIG|691.12.PEG.178,ALR14647.1,CP009977.1,PN96_01105,protein-L-isoaspartate O-methyltransferase,221515..222141
173,FIG|691.12.PEG.179,ALR14648.1,CP009977.1,PN96_01110,membrane protein,222152..223078
174,FIG|691.12.PEG.180,ALR14649.1,CP009977.1,PN96_01115,RNA polymerase sigma factor RpoS,223159..224145
175,FIG|691.12.PEG.181,ALR14650.1,CP009977.1,PN96_01120,DNA mismatch repair protein MutS,complement(224220..226781)
176,FIG|691.12.PEG.182,ALR14651.1,CP009977.1,PN96_01125,damage-inducible protein CinA,226866..227357
177,FIG|691.12.PEG.183,ALR14652.1,CP009977.1,PN96_01130,recombinase A,227548..228594
178,FIG|691.12.PEG.184,ALR14653.1,CP009977.1,PN96_01135,recombinase RecX,228709..229176
179,FIG|691.12.PEG.185,ALR14654.1,CP009977.1,PN96_01140,alanyl-tRNA synthetase,229319..231901
180,FIG|691.12.PEG.186,ALR14655.1,CP009977.1,PN96_01145,aspartate kinase,232098..233285
181,FIG|691.12.PEG.187,ALR14656.1,CP009977.1,PN96_01150,carbon storage regulator,233377..233574
182,FIG|691.12.PEG.189,ALR14657.1,CP009977.1,PN96_01205,oxaloacetate decarboxylase subunit gamma,235724..235981
183,FIG|691.12.PEG.190,ALR14658.1,CP009977.1,PN96_01210,oxaloacetate decarboxylase,236014..237801
184,FIG|691.12.PEG.191,ALR14659.1,CP009977.1,PN96_01215,glutaconyl-CoA decarboxylase subunit beta,237811..238941
185,FIG|691.12.PEG.192,ALR14660.1,CP009977.1,PN96_01220,NADPH:quinone reductase,239079..240029
186,FIG|691.12.PEG.193,ALR14661.1,CP009977.1,PN96_01225,membrane protein,240023..240484
187,FIG|691.12.PEG.194,ALR14662.1,CP009977.1,PN96_01230,peptidase M16,240494..243337
188,FIG|691.12.PEG.195,ALR14663.1,CP009977.1,PN96_01235,glutamate--cysteine ligase,243494..245062
189,FIG|691.12.PEG.196,ALR17174.1,CP009977.1,PN96_01240,hypothetical protein,245093..245692
190,FIG|691.12.PEG.197,ALR14664.1,CP009977.1,PN96_01245,S-ribosylhomocysteinase,245762..246280
191,FIG|691.12.PEG.198,ALR14665.1,CP009977.1,PN96_01250,hypothetical protein,complement(246365..247642)
192,FIG|691.12.PEG.199,ALR14666.1,CP009977.1,PN96_01255,chromosome partitioning protein ParB,complement(247761..248555)
193,FIG|691.12.PEG.200,ALR14667.1,CP009977.1,PN96_01260,signal recognition particle,248780..250162
194,FIG|691.12.PEG.201,ALR14668.1,CP009977.1,PN96_01265,30S ribosomal protein S16,250371..250619
195,FIG|691.12.PEG.202,ALR14669.1,CP009977.1,PN96_01270,16S rRNA-processing protein RimM,250650..251198
196,FIG|691.12.PEG.203,ALR14670.1,CP009977.1,PN96_01275,tRNA (guanine-N1)-methyltransferase,251226..251987
197,FIG|691.12.PEG.204,ALR14671.1,CP009977.1,PN96_01280,50S ribosomal protein L19,252028..252381
198,FIG|691.12.PEG.205,ALR14672.1,CP009977.1,PN96_01285,DNA gyrase inhibitor,complement(252706..252900)
199,FIG|691.12.PEG.206,ALR14673.1,CP009977.1,PN96_01290,cell division protein ZapD,complement(252974..253714)
200,FIG|691.12.PEG.207,ALR14674.1,CP009977.1,PN96_01295,dephospho-CoA kinase,complement(253741..254355)
201,FIG|691.12.PEG.208,ALR14675.1,CP009977.1,PN96_01300,methyltransferase,complement(254356..255225)
202,FIG|691.12.PEG.209,ALR14676.1,CP009977.1,PN96_01305,type II secretion system protein F,complement(255293..256516)
203,FIG|691.12.PEG.210,ALR14677.1,CP009977.1,PN96_01310,general secretion pathway protein GspE,complement(256547..258232)
204,FIG|691.12.PEG.211,ALR14678.1,CP009977.1,PN96_01315,fimbrial protein,complement(258233..258691)
205,FIG|691.12.PEG.212,ALR14679.1,CP009977.1,PN96_01320,nicotinate-nucleotide pyrophosphorylase,complement(258958..259845)
206,FIG|691.12.PEG.213,ALR14680.1,CP009977.1,PN96_01325,N-acetyl-anhydromuranmyl-L-alanine amidase,259938..260483
207,FIG|691.12.PEG.214,ALR14681.1,CP009977.1,PN96_01330,transcriptional regulator PdhR,260893..261660
208,FIG|691.12.PEG.215,ALR14682.1,CP009977.1,PN96_01335,pyruvate dehydrogenase,261710..264370
209,FIG|691.12.PEG.216,ALR14683.1,CP009977.1,PN96_01340,pyruvate dehydrogenase,264390..266279
210,FIG|691.12.PEG.217,ALR14684.1,CP009977.1,PN96_01345,dihydrolipoamide dehydrogenase,266546..267973
211,FIG|691.12.PEG.218,ALR14685.1,CP009977.1,PN96_01350,LuxR family transcriptional regulator,complement(268098..268712)
212,FIG|691.12.PEG.219,ALR14686.1,CP009977.1,PN96_01355,hypoxanthine phosphoribosyltransferase,269030..269560
213,FIG|691.12.PEG.220,ALR14687.1,CP009977.1,PN96_01360,carbonic anhydrase,complement(269649..270317)
214,FIG|691.12.PEG.221,ALR17175.1,CP009977.1,PN96_01365,Bicarbonate transporter BicA,270597..272267
215,FIG|691.12.PEG.222,ALR17176.1,CP009977.1,PN96_01370,ABC transporter,272574..273485
216,FIG|691.12.PEG.223,ALR14688.1,CP009977.1,PN96_01375,ABC transporter permease,273495..274265
217,FIG|691.12.PEG.224,ALR14689.1,CP009977.1,PN96_01380,pantoate--beta-alanine ligase,complement(274334..275236)
218,FIG|691.12.PEG.225,ALR14690.1,CP009977.1,PN96_01385,3-methyl-2-oxobutanoate hydroxymethyltransferase,complement(275248..276042)
219,FIG|691.12.PEG.226,ALR14691.1,CP009977.1,PN96_01390,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,complement(276067..276552)
220,FIG|691.12.PEG.227,ALR14692.1,CP009977.1,PN96_01395,poly(A) polymerase,complement(276549..277913)
221,FIG|691.12.PEG.228,ALR14693.1,CP009977.1,PN96_01400,glutamyl-tRNA synthetase,complement(278014..278877)
222,FIG|691.12.PEG.229,ALR14694.1,CP009977.1,PN96_01405,RNA polymerase-binding transcription factor,complement(278954..279400)
223,FIG|691.12.PEG.230,ALR14695.1,CP009977.1,PN96_01410,transcriptional regulator,complement(279525..280253)
224,FIG|691.12.PEG.231,ALR17177.1,CP009977.1,PN96_01415,ATP-dependent helicase HrpB,280321..282789
225,FIG|691.12.PEG.232,ALR14696.1,CP009977.1,PN96_01420,peptidase,282782..285154
226,FIG|691.12.PEG.233,ALR14697.1,CP009977.1,PN96_01425,serine protease,285292..287610
227,FIG|691.12.PEG.234,ALR14698.1,CP009977.1,PN96_01430,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,287878..290475
228,FIG|691.12.PEG.235,ALR14699.1,CP009977.1,PN96_01435,glycerate kinase,complement(290553..291686)
229,FIG|691.12.PEG.236,ALR14700.1,CP009977.1,PN96_01440,gluconate:proton symporter,complement(291704..292969)
230,FIG|691.12.PEG.237,ALR14701.1,CP009977.1,PN96_01445,XRE family transcriptional regulator,complement(293072..294247)
231,FIG|691.12.PEG.238,ALR14702.1,CP009977.1,PN96_01450,hypothetical protein,294367..294735
232,FIG|691.12.PEG.239,ALR14703.1,CP009977.1,PN96_01455,nitrogen regulatory protein P-II 1,294925..295263
233,FIG|691.12.PEG.240,ALR14704.1,CP009977.1,PN96_01460,ammonium transporter,295292..296521
234,FIG|691.12.PEG.241,ALR14705.1,CP009977.1,PN96_01465,iron ABC transporter substrate-binding protein,296676..297689
235,FIG|691.12.PEG.242,ALR14706.1,CP009977.1,PN96_01470,iron ABC transporter permease,297881..299506
236,FIG|691.12.PEG.243,ALR14707.1,CP009977.1,PN96_01475,ABC transporter,299506..300537
